CMPD_CHEMBLID,MOLWEIGHT,ALOGP,PSA,CANONICAL_SMILES,IC50,STANDARD_UNITS,ASSAY_ORGANISM,PUBMED_ID
CHEMBL578194,364.38,3.5,115.2,C[C@H](Nc1nc(Nc2cc([nH]n2)C3CC3)cnc1C#N)c4ccc(F)cn4,25,nM,,19857966
CHEMBL231948,470.53,3.1,111.78,COCCNC(=O)c1cc2c(N[C@@H](C)c3ccccc3)nc(nc2n1C)n4cnc5ccncc45,25,nM,,17189692
CHEMBL1835153,441.41,2.89,135.6,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c3c4ccc(cc4[nH]c13)c5cnc(N)nc5,25,nM,,21942426
CHEMBL569948,311.38,2.51,85.22,CCCN(CCC)c1cc(ncn1)c2c(N)nn3cccnc23,25,nM,,19857967
CHEMBL1080151,434.47,2.59,129.22,C[C@H](Nc1nc(Nc2ncc(C)s2)c(F)c(n1)N3CCOCC3)c4ncc(F)cn4,25,nM,Homo sapiens,23562594
CHEMBL3126349,437.23,3.12,87.14,OC(C(F)F)c1cc(Cl)c(Nc2nc3ccncc3c4C(=O)NC=Cc24)c(Cl)c1,26,nM,Homo sapiens,24582987
CHEMBL1079593,420.37,3.37,85.17,Fc1ccc2ncn(c3ncc4NC(=O)N([C@@H]5CCOc6c(F)cccc56)c4n3)c2c1,26,nM,Homo sapiens,19836234
CHEMBL1789941,306.37,2.88,83.18,N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,26,nM,Homo sapiens,23540648
CHEMBL2062812,402.47,4.54,48.7,CN1CCN(CC1)c2cccc(Nc3nc4c(cccn4n3)c5ccc(F)cc5)c2,26,nM,Homo sapiens,22594690
CHEMBL1290309,313.37,3.31,54.02,CC(Nc1nc2C=CNC(=O)c2c3cc(F)ccc13)C(C)(C)C,26,nM,,21044843
CHEMBL3116052,393.42,2.67,98.37,C[C@H](Nc1nc(Nc2cn(C)cn2)c3ccn(C4CC4)c3n1)c5ncc(F)cn5,27,nM,Homo sapiens,24359159
CHEMBL1289095,299.34,3.04,54.02,CC(C)[C@H](C)Nc1nc2C=CNC(=O)c2c3cc(F)ccc13,27,nM,,21044843
CHEMBL1938650,297.37,2.84,96.25,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(C)cc3,27,nM,Homo sapiens,22087750
CHEMBL1934341,456.54,3.39,108.78,NC(=O)CN1CCC(CC1)c2ccc(Nc3ncc4ccc(c5cccc(CO)c5)n4n3)cc2,27,nM,Homo sapiens,22169263
CHEMBL3116051,367.38,2.18,98.37,C[C@H](Nc1nc(Nc2cn(C)cn2)c3ccn(C)c3n1)c4ncc(F)cn4,27,nM,Homo sapiens,24359159
CHEMBL221378,400.41,4.28,81.66,C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)c4cocc4)c5ccc(F)cc5,28,nM,Homo sapiens,16934457
CHEMBL1795071,306.37,2.88,83.18,OP(=O)(O)O.N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,28,nM,,22591402
CHEMBL2376145,462.89,2.01,132.58,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3nn(C)c4ccc(Cl)cc34)C(=O)N5CC(C5)C#N,28,nM,Homo sapiens,23540648
CHEMBL1835147,398.46,3.52,109.58,NC(=O)c1cnc(NC(C2CC2)C3CC3)c4c5ccc(cc5[nH]c14)c6cccnn6,28,nM,,21942426
CHEMBL1079523,403.34,3.35,99.72,Fc1cccc(F)c1CN2C(=O)Nc3cnc(nc23)n4cnc5ccc(cc45)C#N,28,nM,Homo sapiens,19836234
CHEMBL1833986,413.48,2.71,135.6,NC(=O)c1cnc(NC(C2CC2)C3CC3)c4c5ccc(cc5[nH]c14)c6cnc(N)nc6,29,nM,,21942426
CHEMBL1934342,504.6,3.52,131.07,CS(=O)(=O)c1ccc(cc1)c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23,29,nM,Homo sapiens,22169263
CHEMBL375205,406.44,5.11,92.56,C[C@H](Nc1cc(nc(n1)n2cnc3ccc(cc23)C#N)c4cocc4)c5ccccc5,29,nM,Homo sapiens,16934457
CHEMBL2322137,241.29,3.23,54.71,C1CCC(CC1)c2noc3cnc4[nH]ccc4c23,30,nM,Homo sapiens,23265875
CHEMBL1078364,444.49,2.84,112.4,COc1cc(ccc1C(=O)NCC#N)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,30,nM,,19762238
CHEMBL3359907,260.33,1.71,72.42,C[C@@H](Nc1c(cnn2cccc12)C(=O)N)C(C)(C)C,30,nM,Homo sapiens,25453808
CHEMBL1650735,415.42,2.33,126,COc1cc(Nc2cc(nc(N[C@@H](C)c3ncc(F)cn3)n2)N4CCOCC4)n[nH]1,30,nM,,21138246
CHEMBL2414541,402.45,4.35,97.34,OC(=O)c1ccc(Nc2nc3c(cccn3n2)c4cnn(c4)C5CCCCC5)cc1,31,nM,Homo sapiens,23870430
CHEMBL3359915,302.37,.97,92.65,C[C@@]1(O)CC[C@@H](Nc2c(cnn3cccc23)C(=O)N)C1(C)C,31,nM,Homo sapiens,25453808
CHEMBL1682368,298.35,1.75,86.17,Cc1cc(Nc2nc(nn3cccc23)N4CCNCC4)n[nH]1,31,nM,,21282055
CHEMBL1938643,368.45,2.2,108.72,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,31,nM,Homo sapiens,22087750
CHEMBL3359926,283.33,1.26,96.21,C[C@@]1(CCC[C@H]1Nc2c(cnn3cccc23)C(=O)N)C#N,31,nM,Homo sapiens,25453808
CHEMBL1835149,414.38,3.34,112.47,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c3c4ccc(cc4[nH]c13)c5cn[nH]c5,32,nM,,21942426
CHEMBL221959,312.37,1.51,88.91,C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CC#N,33,nM,,19762238
CHEMBL1081138,371.44,4.21,66.06,C1CN(CCO1)c2ccc(Nc3nccc(n3)c4ccc5[nH]ccc5c4)cc2,33,nM,,19762238
CHEMBL3234874,412.48,3.55,108.72,NC(=O)c1cc(sc1Nc2cccc(CN3CCOCC3)n2)c4ccccc4F,34,nM,Homo sapiens,24666646
CHEMBL584322,345.4,2.7,85.22,CCN(Cc1ccccc1)c2cc(ncn2)c3c(N)nn4cccnc34,34,nM,,19857967
CHEMBL3330105,341.79,3.33,96.69,CNC(=O)c1cc([nH]c1c2cc(Cl)ccc2C)c3ccnc(N)n3,35,nM,Homo sapiens,25009002
CHEMBL583030,318.34,.84,106.91,Nc1nn2cccnc2c1c3cc(NCc4cccnc4)ncn3,36,nM,,19857967
CHEMBL3233031,327.38,3.86,96.25,Cc1cccc(Nc2sc(cc2C(=O)N)c3ccccc3F)n1,36,nM,Homo sapiens,24666646
CHEMBL3357978,373.43,.55,125.14,CS(=O)(=O)N1CCC[C@@H](C1)Nc2nccnc2c3cnc4[nH]ccc4n3,36,nM,Homo sapiens,25262541
CHEMBL2381978,433.42,2.54,126,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)c(F)c(n2)N4CCOCC4)n[nH]1,37,nM,Homo sapiens,23562594
CHEMBL2376158,450.4,.97,132.07,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3ncn4cc(F)cc(F)c34)C(=O)N5CC(C5)C#N,37,nM,Homo sapiens,23540648
CHEMBL2325894,338.36,.16,114.76,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)C3CC3)C(=O)N4CC(C4)C#N,37,nM,Homo sapiens,23540648
CHEMBL3126348,423.25,3.43,95.58,Clc1cc(cc(Cl)c1Nc2nc3ccncc3c4C(=O)NC=Cc24)c5ccn[nH]5,37,nM,Homo sapiens,24582987
CHEMBL1934344,534.63,2.5,147.19,CN(c1ncccc1c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23)S(=O)(=O)C,38,nM,Homo sapiens,22169263
CHEMBL2376148,453.46,1.22,156.37,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3nn(C)c4cc(ccc34)C#N)C(=O)N5CC(C5)C#N,38,nM,Homo sapiens,23540648
CHEMBL1934352,547.67,3.6,134.31,CN(c1ccccc1c2cc(C)c3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23)S(=O)(=O)C,39,nM,Homo sapiens,22169263
CHEMBL482189,378.88,3.29,109.25,CC(C)(C)NS(=O)(=O)c1ccc(c(Cl)c1)c2ccc3[nH]nc(N)c3c2,39,nM,,19019674
CHEMBL2376439,513.55,1.37,153.1,CC(=O)N[C@@H]1CCc2ccc(Oc3cnc4[nH]cc(C(=O)N[C@H](C5CC5)C(=O)N6CC(C6)C#N)c4n3)cc12,39,nM,Homo sapiens,23541670
CHEMBL1081663,470.52,3.48,87.91,CN(C)C(=O)c1ccc(Nc2oc3c(cccc3n2)c4ccc(cc4)C(=O)N5CCOCC5)cc1,39,nM,,20138510
CHEMBL1835146,386.45,3.15,112.47,NC(=O)c1cnc(NC(C2CC2)C3CC3)c4c5ccc(cc5[nH]c14)c6cn[nH]c6,40,nM,,21942426
CHEMBL1289218,336.31,2.34,66.91,CC(C)[C@@H](Nc1nc2C=CNC(=O)c2c3cnccc13)C(F)(F)F,40,nM,Homo sapiens,24582987
CHEMBL1289218,336.31,2.34,66.91,CC(C)[C@@H](Nc1nc2C=CNC(=O)c2c3cnccc13)C(F)(F)F,40,nM,,21044843
CHEMBL1934335,456.54,3.98,97.78,COc1ccccc1c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23,41,nM,Homo sapiens,22169263
CHEMBL1078934,427.5,3.13,97.18,CN1CCN(CC1)c2ccc(Nc3nccc(n3)c4ccc(cc4)C(=O)NCC#N)cc2,41,nM,,19762238
CHEMBL1835142,428.41,3.55,101.62,Cn1cc(cn1)c2ccc3c(c2)[nH]c4c(cnc(N[C@H](C5CC5)C(F)(F)F)c34)C(=O)N,41,nM,,21942426
CHEMBL1835040,431.57,5.34,88.72,CC(C)Cn1cc(cn1)c2ccc3c(c2)[nH]c4c(ccc(N[C@@H](C)C(C)(C)C)c34)C(=O)N,41,nM,,21942426
CHEMBL1093749,465.52,3.62,108.02,CNS(=O)(=O)c1ccc(cc1)c2cccc3ncc(nc23)c4cc(OC)c(OC)c(OC)c4,42,nM,,20231096
CHEMBL233969,539.63,3.12,115.02,C[C@H](Nc1nc(nc2c1cc(C(=O)NCCCN3CCOCC3)n2C)n4cnc5ccncc45)c6ccccc6,42,nM,,17189692
CHEMBL3359913,288.34,.76,92.65,CC1(C)[C@H](O)CC[C@H]1Nc2c(cnn3cccc23)C(=O)N,42,nM,Homo sapiens,25453808
CHEMBL1093749,465.52,3.62,108.02,CNS(=O)(=O)c1ccc(cc1)c2cccc3ncc(nc23)c4cc(OC)c(OC)c(OC)c4,42,nM,,20172718
CHEMBL2325905,288.34,1.12,90.9,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)C3CC3)C(C)(C)O,43,nM,Homo sapiens,23214979
CHEMBL3330118,341.79,3.68,96.69,CNc1nccc(n1)c2cc(C(=O)N)c([nH]2)c3cc(Cl)ccc3C,43,nM,Homo sapiens,25009002
CHEMBL1946151,500.59,3.74,91.85,CN1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4cc(C1)cc(NC(=O)N5CCOCC5)c4)n3,44,nM,1,60939
CHEMBL570668,295.34,1.68,85.22,Nc1nn2cccnc2c1c3cc(ncn3)N4CCCCC4,44,nM,,19857967
CHEMBL3352835,473.36,4.17,92.27,COC1CCN(CC1)c2nccc(Nc3cc(NC(=O)c4c(Cl)cccc4Cl)ccn3)n2,44,nM,Homo sapiens,25383627
CHEMBL3330108,384.86,2.93,108.72,CNCCNC(=O)c1cc([nH]c1c2cc(Cl)ccc2C)c3ccnc(N)n3,44,nM,Homo sapiens,25009002
CHEMBL3335699,471.58,1.29,131.62,CN1CCN(CC1)c2ncc(c(N[C@H]3CCCN(C3)S(=O)(=O)C)n2)c4cnc5[nH]ccc5n4,45,nM,Homo sapiens,25262541
CHEMBL1934340,533.65,3.11,134.31,CN(c1cccc(c1)c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23)S(=O)(=O)C,45,nM,Homo sapiens,22169263
CHEMBL1835139,388.47,3.41,101.62,CCC(Nc1ncc(C(=O)N)c2[nH]c3cc(ccc3c12)c4cnn(C)c4)C5CC5,45,nM,,21942426
CHEMBL3330114,424.93,3.44,99.93,CN1CCC(CC1)NC(=O)c2cc([nH]c2c3cc(Cl)ccc3C)c4ccnc(N)n4,46,nM,Homo sapiens,25009002
CHEMBL2062792,288.32,1.44,98.72,CS(=O)(=O)c1ccc(cc1)c2cccn3nc(N)nc23,47,nM,Homo sapiens,22594690
CHEMBL568789,352.37,3.02,115.2,CC(Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,47,nM,,19857966
CHEMBL3335685,380.47,.98,128.45,CC(C)CS(=O)(=O)N1CCC[C@@H](C1)NC(=O)Nc2cnc3[nH]ccc3n2,47,nM,Homo sapiens,25262541
CHEMBL1078933,455.55,3.39,97.17,CCN1CCN(Cc2ccc(Nc3nccc(n3)c4ccc(cc4)C(=O)NCC#N)cc2)CC1,47,nM,,19762238
CHEMBL3335676,259.31,1.96,82.7,O=C(NC1CCCCC1)Nc2cnc3[nH]ccc3n2,47,nM,Homo sapiens,25262541
CHEMBL1938644,382.48,2.55,108.72,CCNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,48,nM,Homo sapiens,22087750
CHEMBL1945703,487.64,5.55,62.75,CCN(CC)CCOc1ccc2Nc3nccc(n3)c4cccc(OCC\C=C\CN(C)Cc1c2)c4,48,nM,1,60939
CHEMBL3335682,338.39,-.22,128.45,CS(=O)(=O)N1CCCC(C1)NC(=O)Nc2cnc3[nH]ccc3n2,48,nM,Homo sapiens,25262541
CHEMBL1938654,418.53,2.19,150.79,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)S(=O)(=O)NC(C)(C)C,48,nM,Homo sapiens,22087750
CHEMBL1835017,300.33,3.06,83.8,CCCCNc1ncc(C(=O)N)c2[nH]c3ccc(F)cc3c12,49,nM,,21942426
CHEMBL1087898,331.37,1.49,116.75,C[C@H](Nc1cncc(Nc2ncc(C)s2)n1)c3ncc(F)cn3,49,nM,,20144546
CHEMBL1945569,457.57,4.58,62.75,CN1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4ccc(N5CCOCC5)c(C1)c4)n3,49,nM,1,60939
CHEMBL375076,316.36,3.03,68.52,C[C@@H](Nc1nccc(n1)n2cnc3ccncc23)c4ccccc4,49,nM,Homo sapiens,16934457
CHEMBL3126344,425.19,4.12,66.91,FC(F)(F)c1cc(Cl)c(Nc2nc3ccncc3c4C(=O)NC=Cc24)c(Cl)c1,49,nM,Homo sapiens,24582987
CHEMBL2062809,461.58,4.43,87.97,CN1CCC(CC1)c2cccc(Nc3nc4c(cccn4n3)c5ccc(cc5)S(=O)(=O)C)c2,50,nM,Homo sapiens,22594690
CHEMBL1946006,387.48,3.99,76.3,CN1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4cc(N)cc(C1)c4)n3,50,nM,1,60939
CHEMBL1946005,483.49,4.94,79.38,CN1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4cc(C1)cc(NC(=O)C(F)(F)F)c4)n3,50,nM,1,60939
CHEMBL1289097,353.31,3.69,54.02,CC(C)[C@@H](Nc1nc2C=CNC(=O)c2c3cc(F)ccc13)C(F)(F)F,50,nM,,21044843
CHEMBL2322136,254.33,3.43,46.5,Cn1nc(C2CCCCC2)c3c4cc[nH]c4ncc13,50,nM,Homo sapiens,23265875
CHEMBL569721,353.36,2.07,128.09,C[C@@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ncc(F)cn3,50,nM,,19857966
CHEMBL218746,350.8,3.69,68.52,C[C@H](Nc1ccnc(n1)n2cnc3ccncc23)c4ccc(Cl)cc4,51,nM,Homo sapiens,16934457
CHEMBL220585,316.36,3.03,68.52,C[C@H](Nc1ccnc(n1)n2cnc3cnccc23)c4ccccc4,51,nM,Homo sapiens,16934457
CHEMBL3335692,428.55,2.78,112.24,CC(C)CS(=O)(=O)N1C[C@@H](C)C[C@@H](C1)Nc2ncccc2c3cnc4[nH]ccc4n3,51,nM,Homo sapiens,25262541
CHEMBL1835023,312.34,3.13,83.8,NC(=O)c1cnc(NC2CCCC2)c3c4cc(F)ccc4[nH]c13,51,nM,,21942426
CHEMBL576476,343.39,2.55,94.02,Nc1nn2cccnc2c1c3cc(N[C@H]4CCc5ccccc45)ncn3,52,nM,,19857967
CHEMBL1835020,328.38,3.57,83.8,C[C@H](Nc1ncc(C(=O)N)c2[nH]c3ccc(F)cc3c12)C(C)(C)C,52,nM,,21942426
CHEMBL1077842,476.55,2.5,136.45,O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2,52,nM,,19762238
CHEMBL3330128,381.74,3.58,110.68,NC(=O)c1cc([nH]c1c2cc(Cl)ccc2C(F)(F)F)c3ccnc(N)n3,53,nM,Homo sapiens,25009002
CHEMBL1290533,388.22,4.38,54.02,Fc1ccc2c(NCc3c(Cl)cccc3Cl)nc4C=CNC(=O)c4c2c1,53,nM,,21044843
CHEMBL231733,520.59,3.03,120.37,C[C@H](Nc1nc(nc2c1cc(C(=O)NCCCn3ccnc3)n2C)n4cnc5ccncc45)c6ccccc6,53,nM,,17189692
CHEMBL3335696,460.55,1.34,157.39,CC[C@H](CO)Nc1ncc(c(N[C@H]2CCCN(C2)S(=O)(=O)C)n1)c3cnc4[nH]ccc4n3,54,nM,Homo sapiens,25262541
CHEMBL394174,490.54,2.8,145.07,C[C@H](Nc1nc(nc2c1cc(C(=O)NS(=O)(=O)C)n2C)n3cnc4ccncc34)c5ccccc5,55,nM,,17189692
CHEMBL1289216,353.31,3.69,54.02,CC(C)[C@H](Nc1nc2C=CNC(=O)c2c3cc(F)ccc13)C(F)(F)F,55,nM,,21044843
CHEMBL1945704,485.62,5.32,62.75,CN1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4ccc(OCCN5CCCC5)c(C1)c4)n3,56,nM,1,60939
CHEMBL1081379,436.83,3.82,85.17,Fc1cccc2[C@@H](CCOc12)N3C(=O)Nc4cnc(nc34)n5cnc6ccc(Cl)cc56,56,nM,Homo sapiens,19836234
CHEMBL3335687,394.49,1.3,128.45,CC(C)CS(=O)(=O)N1C[C@@H](C)C[C@@H](C1)NC(=O)Nc2cnc3[nH]ccc3n2,56,nM,Homo sapiens,25262541
CHEMBL220969,417.47,4.85,92.31,C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)c4cccc(c4)C#N)c5ccccc5,56,nM,Homo sapiens,16934457
CHEMBL2376152,480.88,2.21,132.58,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3nn(C)c4cc(Cl)cc(F)c34)C(=O)N5CC(C5)C#N,56,nM,Homo sapiens,23540648
CHEMBL3329229,371.82,2.79,116.92,Cc1ccc(Cl)cc1c2[nH]c(cc2C(=O)NCCO)c3ccnc(N)n3,57,nM,Homo sapiens,25009002
CHEMBL2376159,448.87,.9,132.07,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3cnc4cc(Cl)ccn34)C(=O)N5CC(C5)C#N,57,nM,Homo sapiens,23540648
CHEMBL1934343,504.6,3.52,131.07,CS(=O)(=O)c1cccc(c1)c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23,58,nM,Homo sapiens,22169263
CHEMBL1231124,348.77,2.37,104.3,C[C@H](Nc1ncc(Cl)c(Nc2cc(C)n[nH]2)n1)c3ncc(F)cn3,58,nM,,21138246
CHEMBL1938649,283.35,2.35,96.25,CNC(=O)c1cnc(N)c2cc(sc12)c3ccccc3,58,nM,Homo sapiens,22087750
CHEMBL3330120,502.01,5.54,103.16,CN1CCN(CC1)c2ccc(Nc3nccc(n3)c4cc(C(=O)N)c([nH]4)c5cc(Cl)ccc5C)cc2,59,nM,Homo sapiens,25009002
CHEMBL221037,401.46,3.1,91.99,C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)N4CC[C@@H](O)C4)c5ccccc5,59,nM,Homo sapiens,16934457
CHEMBL1682365,419.5,3.12,106.9,O=C(Cc1ccccc1)N2CCN(CC2)c3nc(Nc4nccs4)c5cccn5n3,59,nM,,21282055
CHEMBL1835030,308.38,3.38,83.8,NC(=O)c1cnc(NC2CCCCC2)c3c4ccccc4[nH]c13,59,nM,,21942426
CHEMBL1934339,519.62,2.9,143.1,CS(=O)(=O)Nc1cccc(c1)c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23,60,nM,Homo sapiens,22169263
CHEMBL1835150,440.42,3.54,122.71,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c3c4ccc(cc4[nH]c13)c5ccc(N)nc5,61,nM,,21942426
CHEMBL3359917,302.37,.71,92.65,C[C@@]1(O)C[C@@H](Nc2c(cnn3cccc23)C(=O)N)C(C)(C)C1,61,nM,Homo sapiens,25453808
CHEMBL404609,261.3,1.34,126.45,NC(=O)Nc1sc(cc1C(=O)N)c2ccccc2,61,nM,Homo sapiens,24666646
CHEMBL3314284,399.38,2.44,112.23,[K+].Fc1ccc(cc1)c2nc([nH]c2C3=CC(=O)NC=C3)c4ccc(cc4)c5nnn[n-]5,61,nM,Homo sapiens,24930833
CHEMBL2062803,449.53,3.59,97.21,CS(=O)(=O)c1ccc(cc1)c2cccn3nc(Nc4ccc(cc4)N5CCOCC5)nc23,61,nM,Homo sapiens,22594690
CHEMBL1945565,446.54,4.59,68.74,COCCOc1ccc2Nc3nccc(n3)c4cccc(OCC\C=C\CN(C)Cc1c2)c4,62,nM,1,60939
CHEMBL1934338,457.53,3.37,110.67,COc1ccc(cn1)c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23,62,nM,Homo sapiens,22169263
CHEMBL3359921,301.39,.68,98.44,C[C@]1(N)CC[C@@H](Nc2c(cnn3cccc23)C(=O)N)C1(C)C,62,nM,Homo sapiens,25453808
CHEMBL1945707,499.65,5.77,62.75,CN1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4ccc(OCCN5CCCCC5)c(C1)c4)n3,62,nM,1,60939
CHEMBL2062805,462.57,3.86,91.22,CN1CCN(CC1)c2ccc(Nc3nc4c(cccn4n3)c5ccc(cc5)S(=O)(=O)C)cc2,64,nM,Homo sapiens,22594690
CHEMBL3234894,295.36,3.37,96.25,NC(=O)c1cc(sc1Nc2ccccn2)c3ccccc3,65,nM,Homo sapiens,24666646
CHEMBL1078363,428.49,3.34,103.16,Cc1cc(ccc1C(=O)NCC#N)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,65,nM,,19762238
CHEMBL3330115,341.79,3.33,99.82,Cc1ccc(Cl)cc1c2c(cc(c3ccnc(N)n3)n2C)C(=O)N,66,nM,Homo sapiens,25009002
CHEMBL1077458,389.45,3.04,79.38,CC(=O)Nc1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,67,nM,,19762238
CHEMBL385114,423.42,3.89,72.2,CN1CCN(CC1)c2cc(Oc3c(F)cccc3F)nc(n2)n4cnc5ccncc45,68,nM,Homo sapiens,16934457
CHEMBL1835016,286.3,2.6,83.8,CCCNc1ncc(C(=O)N)c2[nH]c3ccc(F)cc3c12,68,nM,,21942426
CHEMBL3403542,351.79,3.7,78.21,Cc1ccc(Cl)cc1n2cc(cc2C(=O)N)c3ncnn4cccc34,68,nM,Homo sapiens,25882525
CHEMBL1077841,430.53,3.6,119.24,O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCSCC4)n2,69,nM,,19762238
CHEMBL2376337,322.36,2.96,79.9,CC(NC(=O)c1c[nH]c2ncc(Oc3ccccc3)nc12)C4CC4,70,nM,Homo sapiens,23541670
CHEMBL570462,311.34,.72,105.46,Nc1nn2cccnc2c1c3cc(ncn3)N4CCCC(O)C4,70,nM,,19857967
CHEMBL1835033,384.47,4.9,83.8,NC(=O)c1cnc(NC2CCCCC2)c3c4ccc(cc4[nH]c13)c5ccccc5,70,nM,,21942426
CHEMBL3403547,381.74,3.57,99.82,NC(=O)c1cc(cn1c2cc(ccc2Cl)C(F)(F)F)c3cc(N)ncn3,71,nM,Homo sapiens,25882525
CHEMBL3335694,388.45,.42,151.16,CS(=O)(=O)N1CCC[C@@H](C1)Nc2nc(N)ncc2c3cnc4[nH]ccc4n3,71,nM,Homo sapiens,25262541
CHEMBL1091565,485.53,3.81,83.01,COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(cc4)C(=O)N5CCOCC5)c3n2,72,nM,,20231096
CHEMBL1938645,430.52,3.78,108.72,Nc1ncc(C(=O)Nc2ccccc2)c3sc(cc13)c4ccc(cc4)N5CCOCC5,72,nM,Homo sapiens,22087750
CHEMBL3403539,327.77,3.11,99.82,Cc1ccc(Cl)cc1n2cc(cc2C(=O)N)c3cc(N)ncn3,73,nM,Homo sapiens,25882525
CHEMBL1835019,300.33,2.92,83.8,CC(C)CNc1ncc(C(=O)N)c2[nH]c3ccc(F)cc3c12,74,nM,,21942426
CHEMBL570230,352.37,3.02,115.2,C[C@@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,75,nM,,19857966
CHEMBL1290769,283.3,2.41,54.02,Fc1ccc2c(NC3CCC3)nc4C=CNC(=O)c4c2c1,75,nM,,21044843
CHEMBL584944,377.42,3.56,94.02,CCC[C@@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccc(F)cc4,75,nM,,19857967
CHEMBL221376,396.45,3.63,86.34,C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)c4cnn(C)c4)c5ccccc5,77,nM,Homo sapiens,16934457
CHEMBL480411,344.43,2.63,109.25,CC(C)(C)NS(=O)(=O)c1ccc(cc1)c2ccc3[nH]nc(N)c3c2,78,nM,,19019674
CHEMBL3335684,366.44,.66,128.45,CCCS(=O)(=O)N1CCC[C@@H](C1)NC(=O)Nc2cnc3[nH]ccc3n2,78,nM,Homo sapiens,25262541
CHEMBL1835138,374.44,2.89,101.62,C[C@@H](Nc1ncc(C(=O)N)c2[nH]c3cc(ccc3c12)c4cnn(C)c4)C5CC5,79,nM,,21942426
CHEMBL3234879,345.37,4.06,96.25,Cc1cccc(Nc2sc(cc2C(=O)N)c3cccc(F)c3F)n1,80,nM,Homo sapiens,24666646
CHEMBL1080955,426.51,3.86,68.1,Cc1nccn1Cc2ccc(cc2)c3ccnc(Nc4ccc(cc4)N5CCOCC5)n3,81,nM,,19762238
CHEMBL1945051,406.91,5.4,50.28,CN1C\C=C\CCOc2cccc(c2)c3ccnc(Nc4ccc(Cl)c(C1)c4)n3,82,nM,1,60939
CHEMBL3335688,372.44,1.27,112.24,CS(=O)(=O)N1CCC[C@@H](C1)Nc2ncccc2c3cnc4[nH]ccc4n3,82,nM,Homo sapiens,25262541
CHEMBL1081190,402.38,3.16,85.17,Fc1ccc2OCCC(N3C(=O)Nc4cnc(nc34)n5cnc6ccccc56)c2c1,83,nM,Homo sapiens,19836234
CHEMBL3262616,389.45,2.93,120.22,N[C@H]1CCCC[C@H]1Nc2cc3N=CNC(=O)c3c(Nc4cccc5[nH]ccc45)n2,83,nM,Homo sapiens,24726806
