CMPD_CHEMBLID,MOLWEIGHT,ALOGP,PSA,CANONICAL_SMILES,IC50,STANDARD_UNITS,ASSAY_ORGANISM,PUBMED_ID
CHEMBL3335691,397.45,1,136.04,O=S(=O)(CC#N)N1CCC[C@@H](C1)Nc2ncccc2c3cnc4[nH]ccc4n3,9,nM,Homo sapiens,25262541
CHEMBL3403552,351.79,3.84,100.44,Cc1ccc(Cl)cc1c2cc([nH]c2C(=O)N)c3ncnc4[nH]ccc34,9,nM,Homo sapiens,25882525
CHEMBL1650734,433.87,3.03,116.77,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(Cl)c(n1)N3CCOCC3)c4ncc(F)cn4,9,nM,,21138246
CHEMBL3126345,374.29,3,66.91,Fc1cccc(c1Nc2nc3ccncc3c4C(=O)NC=Cc24)C(F)(F)F,9,nM,Homo sapiens,24582987
CHEMBL1650730,377.81,2.79,107.54,C[C@H](Nc1ncc(Cl)c(Nc2cc([nH]n2)N(C)C)n1)c3ncc(F)cn3,9,nM,,21138246
CHEMBL2443026,578.66,3.43,129.76,CN(C)c1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(CC4)C5CCC6(CC5)OCCO6)cc1,10,nM,Homo sapiens,24100158
CHEMBL1938651,339.45,3.75,96.25,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)C(C)(C)C,10,nM,Homo sapiens,22087750
CHEMBL3330124,361.32,3.4,110.68,Cc1ccc(cc1c2[nH]c(cc2C(=O)N)c3ccnc(N)n3)C(F)(F)F,10,nM,Homo sapiens,25009002
CHEMBL1270399,438.55,2.53,124.49,C[C@@H](N1C[C@@H](C)O[C@@H](C)C1)c2cc(Nc3nc(C)cn4c(cnc34)c5cn[nH]c5)sn2,10,nM,,20855207
CHEMBL1835043,402.49,4.1,122.71,C[C@H](Nc1ccc(C(=O)N)c2[nH]c3cc(ccc3c12)c4ccc(N)nn4)C(C)(C)C,10,nM,,21942426
CHEMBL3126351,336.31,2.34,66.91,CC(C)[C@H](Nc1nc2ccncc2c3C(=O)NC=Cc13)C(F)(F)F,10,nM,Homo sapiens,24582987
CHEMBL1650729,393.22,2.73,104.3,C[C@H](Nc1ncc(Br)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3,10,nM,,21138246
CHEMBL1078166,414.46,3.1,103.16,O=C(CC#N)Nc1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,10,nM,,19762238
CHEMBL1650735,415.42,2.33,126,COc1cc(Nc2cc(nc(N[C@@H](C)c3ncc(F)cn3)n2)N4CCOCC4)n[nH]1,10,nM,,21138246
CHEMBL576286,357.39,3.12,100.64,CC(C)Oc1cc(Nc2cncc(N[C@@H](C)c3ccc(F)cn3)n2)n[nH]1,10,nM,,19857966
CHEMBL2443139,466.53,3.45,120.09,CC(C)Nc1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(C)CC4)cc1,10,nM,Homo sapiens,24100158
CHEMBL2443138,452.5,3.08,111.3,CN(C)c1ccc(Oc2cc(O)cc(O)c2c3onc(c3)C(=O)NC4CCN(C)CC4)cc1,10,nM,Homo sapiens,24100158
CHEMBL2322135,240.3,3.22,57.36,C1CCC(CC1)c2n[nH]c3cnc4[nH]ccc4c23,10,nM,Homo sapiens,23265875
CHEMBL233151,495.58,3.39,97,C[C@H](Nc1nc(nc2c1cc(C(=O)N3CCN(C)CC3)n2C)n4cnc5ccncc45)c6ccccc6,11,nM,,17189692
CHEMBL1835138,374.44,2.89,101.62,C[C@@H](Nc1ncc(C(=O)N)c2[nH]c3cc(ccc3c12)c4cnn(C)c4)C5CC5,11,nM,,21942426
CHEMBL221959,312.37,1.51,88.91,C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CC#N,11,nM,Homo sapiens,16934457
CHEMBL578201,352.37,3.02,115.2,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,11,nM,,19857966
CHEMBL570229,343.39,2.55,94.02,Nc1nn2cccnc2c1c3cc(N[C@@H]4CCc5ccccc45)ncn3,11,nM,,19857967
CHEMBL221959,312.37,1.51,88.91,C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CC#N,11,nM,,17189692
CHEMBL1078276,437.56,3.97,95.6,CS(=O)(=O)Nc1ccc(cc1)c2ccnc(Nc3ccc(CN4CCCCC4)cc3)n2,11,nM,,19762238
CHEMBL1938652,367.35,4.47,105.48,CNC(=O)c1cnc(N)c2cc(sc12)c3ccc(OC(F)(F)F)cc3,12,nM,Homo sapiens,22087750
CHEMBL3126346,401.25,2.95,87.14,CC(O)c1cc(Cl)c(Nc2nc3ccncc3c4C(=O)NC=Cc24)c(Cl)c1,12,nM,Homo sapiens,24582987
CHEMBL1934353,568.09,3.77,134.31,CN(c1ccccc1c2cc(Cl)c3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23)S(=O)(=O)C,12,nM,Homo sapiens,22169263
CHEMBL3128069,470.52,2.24,160.44,C[C@@H](Oc1cc(cnc1N)c2sc(nc2C)[C@](C)(O)CO)c3cc(F)ccc3n4nccn4,12,nM,Homo sapiens,24432909
CHEMBL3116065,365.37,1.67,106.33,C[C@H](Nc1nc(Nc2cn(C)cn2)c3ccncc3n1)c4ncc(F)cn4,12,nM,Homo sapiens,24359159
CHEMBL1835145,442.44,4,101.62,Cn1cc(cn1)c2ccc3c(c2)[nH]c4c(cnc(N[C@H](C5CCC5)C(F)(F)F)c34)C(=O)N,12,nM,,21942426
CHEMBL3403544,355.82,4.12,85.83,CCc1ccc(Cl)cc1n2cc(cc2C(=O)N)c3cc(NC)ncn3,12,nM,Homo sapiens,25882525
CHEMBL220483,452.51,4.94,86.98,COc1ccc(cc1OC)c2cc(N[C@@H](C)c3ccccc3)nc(n2)n4cnc5ccncc45,12,nM,Homo sapiens,16934457
CHEMBL1835041,402.49,3.49,122.71,C[C@H](Nc1ccc(C(=O)N)c2[nH]c3cc(ccc3c12)c4cnc(N)nc4)C(C)(C)C,12,nM,,21942426
CHEMBL3330122,348.19,3.3,110.68,NC(=O)c1cc([nH]c1c2cc(Cl)ccc2Cl)c3ccnc(N)n3,12,nM,Homo sapiens,25009002
CHEMBL1078688,453.56,2.49,115.83,CS(=O)(=O)Nc1ccc(cc1)c2ccnc(Nc3cccc(CN4CCC(O)CC4)c3)n2,12,nM,,19762238
CHEMBL1834948,402.49,3.92,122.71,C[C@H](Nc1ccc(C(=O)N)c2[nH]c3cc(ccc3c12)c4ccnc(N)n4)C(C)(C)C,12,nM,,21942426
CHEMBL2376147,446.44,1.55,132.58,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3nn(C)c4cc(F)ccc34)C(=O)N5CC(C5)C#N,12,nM,Homo sapiens,23540648
CHEMBL1934348,506.5,5.8,107.01,NC(=O)CN1CCC(CC1)c2ccc(Nc3ncc4ccc(c5cccc6OC(F)(F)Oc56)n4n3)cc2,13,nM,Homo sapiens,22169263
CHEMBL1089815,522.64,4.59,67.79,Cc1cc(ccc1CN2CCOCC2)c3cccc4ncc(nc34)c5ccc(C(=O)N6CCOCC6)c(C)c5,13,nM,,20231096
CHEMBL1835037,373.45,3.95,99.59,NC(=O)c1ccc(NC2CCCCC2)c3c4ccc(cc4[nH]c13)c5cn[nH]c5,13,nM,,21942426
CHEMBL1093191,499.56,3.85,83.01,COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CC(=O)N5CCOCC5)cc4)c3n2,13,nM,,20231096
CHEMBL1835036,388.47,3.55,101.62,Cn1cc(cn1)c2ccc3[nH]c4c(cnc(NC5CCCCC5)c4c3c2)C(=O)N,13,nM,,21942426
CHEMBL2376151,484.55,2.74,132.58,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3nn(C)c4cc(ccc34)C(C)(C)C)C(=O)N5CC(C5)C#N,13,nM,Homo sapiens,23540648
CHEMBL1081485,475.54,4.68,78.22,COc1cc(Nc2oc3c(cccc3n2)c4ccc(CN5CCOCC5)cc4)cc(OC)c1OC,14,nM,,20138510
CHEMBL1290767,374.2,4.54,54.02,Fc1ccc2c(Nc3c(Cl)cccc3Cl)nc4C=CNC(=O)c4c2c1,14,nM,,21044843
CHEMBL1089833,519.61,4.2,99.23,COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCS(=O)(=O)CC5)cc4)c3n2,14,nM,,20231096
CHEMBL1835137,374.44,2.89,101.62,C[C@H](Nc1ncc(C(=O)N)c2[nH]c3cc(ccc3c12)c4cnn(C)c4)C5CC5,14,nM,,21942426
CHEMBL3126341,375.18,3.39,66.91,Fc1cc(Cl)c(Nc2nc3ccncc3c4C(=O)NC=Cc24)c(Cl)c1,14,nM,Homo sapiens,24582987
CHEMBL1078866,452.57,3.01,98.84,CN1CCN(Cc2cccc(Nc3nccc(n3)c4ccc(NS(=O)(=O)C)cc4)c2)CC1,14,nM,,19762238
CHEMBL1835042,421.92,5.18,96.69,C[C@H](Nc1ccc(C(=O)N)c2[nH]c3cc(ccc3c12)c4ccc(Cl)nn4)C(C)(C)C,14,nM,,21942426
CHEMBL1081290,376.41,4.92,65.75,COc1cc(Nc2oc3c(cccc3n2)c4ccccc4)cc(OC)c1OC,15,nM,,20138510
CHEMBL1081290,376.41,4.92,65.75,COc1cc(Nc2oc3c(cccc3n2)c4ccccc4)cc(OC)c1OC,15,nM,,20172718
CHEMBL3126352,358.73,2.93,66.91,Fc1cc(F)c(Nc2nc3ccncc3c4C(=O)NC=Cc24)c(Cl)c1,15,nM,Homo sapiens,24582987
CHEMBL2376150,468.51,2.16,132.58,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3nn(C)c4cc(ccc34)C5CC5)C(=O)N6CC(C6)C#N,15,nM,Homo sapiens,23540648
CHEMBL3116054,368.37,1.53,111.26,C[C@H](Nc1nc(Nc2cn(C)cn2)c3cnn(C)c3n1)c4ncc(F)cn4,15,nM,Homo sapiens,24359159
CHEMBL1934336,533.65,3.11,134.31,CN(c1ccccc1c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23)S(=O)(=O)C,15,nM,Homo sapiens,22169263
CHEMBL222027,382.42,4.08,81.66,C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)c4cocc4)c5ccccc5,16,nM,Homo sapiens,16934457
